# Resources
# ResourceID	ShiftStartTime (Hours starting from 7am)	ShiftFinishTime (Hours starting from 7am)	Availability (h)
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
1	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
2	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
3	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
4	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
5	0	8	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
6	2	10	8
7	2	10	8
7	2	10	8
7	2	10	8
7	2	10	8
7	2	10	8
7	2	10	8
7	2	10	8
7	2	10	8
7	2	10	8
